signal_ratio,seed,nbin,sigma_avg_SR,sigma_avg_bg4b_SR,sigma_avg_CR,sigma_avg_bg4b_CR,initialize_with_fvt,rejected_SR,rejected_bg4b_SR,rejected_CR,rejected_bg4b_CR
0.01,18,200,1.7950834,1.71051,1.6012354,1.5659316,False,False,False,False,False
0.02,18,10,11.768575,2.9973392,1.5447489,2.036783,False,True,True,False,True
0.02,18,20,8.4552145,2.7497158,1.4374254,1.7876127,False,True,True,False,False
0.02,18,30,6.8258657,2.2180665,1.4759241,1.6843942,False,True,True,False,False
0.02,18,50,5.484089,2.0719607,1.5166293,1.6674103,False,True,True,False,False
0.02,18,100,4.048657,1.7863647,1.3611029,1.4361023,False,True,False,False,False
0.02,18,200,3.0774956,1.6287993,1.4525784,1.4901618,False,True,False,False,False
0.0,19,10,4.1374583,4.1374583,2.0781786,2.0781786,False,True,True,True,True
0.0,19,20,3.3073275,3.3073275,1.6734283,1.6734283,False,True,True,False,False
0.0,19,30,2.990497,2.990497,1.5824404,1.5824404,False,True,True,False,False
0.0,19,50,2.5184278,2.5184278,1.7309359,1.7309359,False,True,True,False,False
0.0,19,100,2.0856004,2.0856004,1.5174533,1.5174533,False,True,True,False,False
0.0,19,200,1.7625924,1.7625924,1.5128255,1.5128255,False,False,False,False,False
0.01,19,10,3.5554636,3.4964442,1.7467217,2.7861104,False,True,True,False,True
0.01,19,20,2.9566545,2.916183,1.9258529,2.3854792,False,True,True,False,True
0.01,19,30,2.4378617,2.4079804,1.3056539,1.7645802,False,True,True,False,False
0.01,19,50,2.1367722,2.1169045,1.5797824,1.8003224,False,True,True,False,False
0.01,19,100,1.6612577,1.6498199,1.3974715,1.528649,False,False,False,False,False
0.01,19,200,1.458567,1.453285,1.5264733,1.5888238,False,False,False,False,False
0.02,19,10,11.05736,6.316806,3.933871,4.1373982,False,True,True,True,True
0.02,19,20,7.644451,4.3416996,2.837998,3.0754292,False,True,True,True,True
0.02,19,30,6.3431416,3.671386,2.4207885,2.6049457,False,True,True,True,True
0.02,19,50,5.0696416,2.9712155,2.1462038,2.275763,False,True,True,True,True
0.02,19,100,3.7874362,2.4328609,1.6484945,1.7390783,False,True,True,False,False
0.02,19,200,2.8319848,1.8864198,1.508302,1.5509272,False,True,False,False,False
0.0,20,10,8.224517,8.224517,2.1040714,2.1040714,False,True,True,True,True
0.0,20,20,5.7884583,5.7884583,2.041907,2.041907,False,True,True,True,True
0.0,20,30,4.7721186,4.7721186,1.8783612,1.8783612,False,True,True,False,False
0.0,20,50,3.750302,3.750302,1.6571677,1.6571677,False,True,True,False,False
0.0,20,100,2.938928,2.938928,1.7304876,1.7304876,False,True,True,False,False
0.0,20,200,2.3254745,2.3254745,1.5260295,1.5260295,False,True,True,False,False
0.01,20,10,8.906526,7.083324,3.0879982,3.4586182,False,True,True,True,True
0.01,20,20,6.168447,4.911893,2.3909967,2.649942,False,True,True,True,True
0.01,20,30,5.195899,4.2276945,2.420737,2.608417,False,True,True,True,True
0.01,20,50,4.0099745,3.2674038,2.0438087,2.1881986,False,True,True,True,True
0.01,20,100,3.0156455,2.5273721,1.9729764,2.045974,False,True,True,True,True
0.01,20,200,2.3931043,2.0892682,1.770696,1.8066181,False,True,True,False,False
0.02,20,10,11.834262,6.0189962,2.475365,2.9402094,False,True,True,True,True
0.02,20,20,8.197799,4.21472,1.9502198,2.259086,False,True,True,False,True
0.02,20,30,6.8027253,3.5829217,2.074044,2.269617,False,True,True,True,True
0.02,20,50,5.3168306,2.8847609,1.9146079,2.0447433,False,True,True,False,True
0.02,20,100,3.9206164,2.2665184,1.8142601,1.8833218,False,True,True,False,False
0.02,20,200,2.9689717,1.8834156,1.7004374,1.7372772,False,True,False,False,False
0.0,21,10,3.804442,3.804442,2.9603364,2.9603364,False,True,True,True,True
0.0,21,20,2.8259387,2.8259387,2.3629563,2.3629563,False,True,True,True,True
0.0,21,30,2.425831,2.425831,1.970632,1.970632,False,True,True,True,True
0.0,21,50,2.1816518,2.1816518,1.6946121,1.6946121,False,True,True,False,False
0.0,21,100,1.9809008,1.9809008,1.7612582,1.7612582,False,True,True,False,False
0.0,21,200,1.8074812,1.8074812,1.5724975,1.5724975,False,False,False,False,False
0.01,21,10,3.879668,2.9241383,2.8435552,3.5593653,False,True,True,True,True
0.01,21,20,3.0498922,2.5136352,2.0418334,2.4840426,False,True,True,True,True
0.01,21,30,2.5360239,2.1127405,2.1400344,2.3979821,False,True,True,True,True
0.01,21,50,2.3049223,2.037142,1.8111115,1.9950271,False,True,True,False,True
0.01,21,100,1.8548782,1.6882632,1.6848707,1.7845569,False,False,False,False,False
0.01,21,200,1.7209562,1.6091135,1.6556311,1.7052416,False,False,False,False,False
0.02,21,10,10.076462,3.1205761,2.3977716,2.4138463,False,True,True,True,True
0.02,21,20,7.0217004,2.203679,2.0704353,2.113426,False,True,True,True,True
0.02,21,30,5.7527027,1.9338435,1.8624847,1.9030305,False,True,False,False,False
0.02,21,50,4.6142755,1.8242446,1.9069062,1.9232315,False,True,False,False,False
0.02,21,100,3.447293,1.6314459,1.8004128,1.7980106,False,True,False,False,False
0.02,21,200,2.6194615,1.4305605,1.5179458,1.5200309,False,True,False,False,False
0.0,22,10,5.5921082,5.5921082,2.0400674,2.0400674,False,True,True,True,True
0.0,22,20,4.063046,4.063046,1.8181942,1.8181942,False,True,True,False,False
0.0,22,30,3.4683385,3.4683385,1.7586809,1.7586809,False,True,True,False,False
0.0,22,50,2.7882404,2.7882404,1.6255533,1.6255533,False,True,True,False,False
0.0,22,100,2.279286,2.279286,1.4814569,1.4814569,False,True,True,False,False
0.0,22,200,1.9396203,1.9396203,1.550498,1.550498,False,False,False,False,False
0.01,22,10,5.1101894,3.6790276,3.8160899,3.2027166,False,True,True,True,True
0.01,22,20,3.646929,2.6236608,3.2388577,2.8991733,False,True,True,True,True
0.01,22,30,3.0574453,2.253179,2.8607557,2.606899,False,True,True,True,True
0.01,22,50,2.6072748,2.0575821,2.2312512,2.0415292,False,True,True,True,True
0.01,22,100,2.037045,1.6926289,1.9275048,1.8313615,False,True,False,False,False
0.01,22,200,1.7205838,1.5065813,1.7645285,1.7024941,False,False,False,False,False
0.02,22,10,11.728944,6.67739,2.8314025,2.5050924,False,True,True,True,True
0.02,22,20,8.175588,4.6669426,2.076228,1.8343544,False,True,True,True,False
0.02,22,30,6.6969943,3.9279964,2.0865602,1.9461553,False,True,True,True,False
0.02,22,50,5.1876035,3.087953,2.0581803,1.9697084,False,True,True,True,True
0.02,22,100,3.7995923,2.4066174,1.8010167,1.7423524,False,True,True,False,False
0.02,22,200,2.9441948,2.0776317,1.7383702,1.7075005,False,True,True,False,False
0.0,23,10,5.3111696,5.3111696,2.1566799,2.1566799,False,True,True,True,True
0.0,23,20,3.6862462,3.6862462,1.9972757,1.9972757,False,True,True,True,True
0.0,23,30,3.0903172,3.0903172,1.7773561,1.7773561,False,True,True,False,False
0.0,23,50,2.581383,2.581383,1.6981215,1.6981215,False,True,True,False,False
0.0,23,100,2.1710913,2.1710913,1.5932254,1.5932254,False,True,True,False,False
0.0,23,200,1.9249848,1.9249848,1.4474682,1.4474682,False,False,False,False,False
0.01,23,10,4.870299,4.5964365,1.8549786,2.3740137,False,True,True,False,True
0.01,23,20,3.3697217,3.1726487,1.8135066,1.9525003,False,True,True,False,False
0.01,23,30,3.0132985,2.8697402,1.7563174,1.8267782,False,True,True,False,False
0.01,23,50,2.430057,2.3311498,1.4190587,1.5028783,False,True,True,False,False
0.01,23,100,1.9593472,1.8977284,1.4963769,1.5231723,False,False,False,False,False
0.01,23,200,1.7638365,1.7245681,1.4771376,1.4906527,False,False,False,False,False
0.02,23,10,9.532133,1.3015984,2.6662514,1.7703454,False,True,False,True,False
0.02,23,20,6.7400517,1.6034929,2.2635918,1.7926573,False,True,False,True,False
0.02,23,30,5.593873,1.3693169,2.1178513,1.7710636,False,True,False,True,False
0.02,23,50,4.3855042,1.42723,1.9282701,1.7002869,False,True,False,False,False
0.02,23,100,3.309298,1.3961903,1.7089257,1.5743377,False,True,False,False,False
0.02,23,200,2.5808089,1.4048905,1.5592754,1.4881539,False,True,False,False,False
0.0,24,10,5.8422246,5.8422246,4.16235,4.16235,False,True,True,True,True
0.0,24,20,4.173332,4.173332,3.0950136,3.0950136,False,True,True,True,True
0.0,24,30,3.6073482,3.6073482,2.7299607,2.7299607,False,True,True,True,True
0.0,24,50,2.9596372,2.9596372,2.3141806,2.3141806,False,True,True,True,True
0.0,24,100,2.3906705,2.3906705,1.8946564,1.8946564,False,True,True,False,False
0.0,24,200,2.0185373,2.0185373,1.7047327,1.7047327,False,True,True,False,False
0.01,24,10,5.484096,5.331781,3.105509,2.6322746,False,True,True,True,True
0.01,24,20,4.182086,4.0666547,2.3324816,2.064115,False,True,True,True,True
0.01,24,30,3.5367863,3.4829931,2.1768372,1.9794551,False,True,True,True,True
0.01,24,50,2.9056485,2.8402686,1.9039781,1.7707632,False,True,True,False,False
0.01,24,100,2.3683205,2.3299556,1.8776228,1.8094138,False,True,True,False,False
0.01,24,200,2.108823,2.0792823,1.6227603,1.5842123,False,True,True,False,False
0.02,24,10,11.322533,3.5660474,2.9961014,2.7616727,False,True,True,True,True
0.02,24,20,8.126101,2.7751374,2.2708287,2.140275,False,True,True,True,True
0.02,24,30,6.867037,2.5627856,1.9554454,1.84161,False,True,True,False,False
0.02,24,50,5.3957734,2.177575,1.7384728,1.6619819,False,True,True,False,False
0.02,24,100,4.0432096,1.8293374,1.5437535,1.5008312,False,True,False,False,False
0.02,24,200,3.0749085,1.6481682,1.4842986,1.4607844,False,True,False,False,False
0.0,25,10,2.9427447,2.9427447,3.0631423,3.0631423,False,True,True,True,True
0.0,25,20,2.4220667,2.4220667,2.5951529,2.5951529,False,True,True,True,True
0.0,25,30,2.1487315,2.1487315,2.474801,2.474801,False,True,True,True,True
0.0,25,50,1.9372548,1.9372548,2.0548553,2.0548553,False,False,False,True,True
0.0,25,100,1.6430116,1.6430116,1.7349285,1.7349285,False,False,False,False,False
0.0,25,200,1.6065573,1.6065573,1.5987163,1.5987163,False,False,False,False,False
0.01,25,10,3.4132571,2.7969408,2.1801486,2.4419706,False,True,True,True,True
0.01,25,20,2.6600041,2.299691,2.0794759,2.1413417,False,True,True,True,True
0.01,25,30,2.1391213,1.8440212,1.8363783,1.8894429,False,True,False,False,False
0.01,25,50,1.8780158,1.6803541,1.6159136,1.646054,False,False,False,False,False
0.01,25,100,1.6623341,1.5398635,1.5445198,1.5620805,False,False,False,False,False
0.01,25,200,1.6128751,1.5473555,1.5123651,1.5107323,False,False,False,False,False
0.02,25,10,11.681095,5.4699917,1.5423086,1.7588313,False,True,True,False,False
0.02,25,20,8.335452,3.9262364,1.6779038,1.7459195,False,True,True,False,False
0.02,25,30,6.8623114,3.3701568,1.4359838,1.495325,False,True,True,False,False
0.02,25,50,5.468626,2.8223102,1.5710795,1.586216,False,True,True,False,False
0.02,25,100,4.0066457,2.2167888,1.4161413,1.43228,False,True,True,False,False
0.02,25,200,2.9977217,1.7959206,1.3638732,1.3703204,False,True,False,False,False
0.0,26,10,5.178281,5.178281,2.8958328,2.8958328,False,True,True,True,True
0.0,26,20,3.706442,3.706442,2.2047338,2.2047338,False,True,True,True,True
0.0,26,30,3.0326753,3.0326753,1.9149598,1.9149598,False,True,True,False,False
0.0,26,50,2.550576,2.550576,1.8829777,1.8829777,False,True,True,False,False
0.0,26,100,2.0872416,2.0872416,1.6215279,1.6215279,False,True,True,False,False
0.0,26,200,1.6976593,1.6976593,1.5343217,1.5343217,False,False,False,False,False
0.01,26,10,6.473188,6.0356703,3.3472066,4.0536795,False,True,True,True,True
0.01,26,20,5.1735315,4.805503,2.5652819,2.972118,False,True,True,True,True
0.01,26,30,4.3795357,4.0063143,2.3988085,2.6956296,False,True,True,True,True
0.01,26,50,3.4695508,3.1743128,1.9912183,2.2233868,False,True,True,True,True
0.01,26,100,2.84882,2.649836,1.7537575,1.8880593,False,True,True,False,False
0.01,26,200,2.3108838,2.1905012,1.5832326,1.6604053,False,True,True,False,False
0.02,26,10,12.834464,7.2975245,2.2735453,2.8274872,False,True,True,True,True
0.02,26,20,9.019148,5.1490946,2.4170933,2.6520503,False,True,True,True,True
0.02,26,30,7.679426,4.4979734,2.0420113,2.2203076,False,True,True,True,True
0.02,26,50,6.079821,3.5383146,1.9040778,2.0106647,False,True,True,False,True
0.02,26,100,4.545837,2.7309706,1.5741999,1.6332666,False,True,True,False,False
0.02,26,200,3.4612749,2.1887498,1.4060938,1.4372395,False,True,True,False,False
0.0,27,10,9.213518,9.213518,1.9069326,1.9069326,False,True,True,False,False
0.0,27,20,6.473148,6.473148,2.007948,2.007948,False,True,True,True,True
0.0,27,30,5.3089156,5.3089156,1.8023446,1.8023446,False,True,True,False,False
0.0,27,50,4.3233795,4.3233795,1.7458384,1.7458384,False,True,True,False,False
0.0,27,100,3.3284597,3.3284597,1.7399064,1.7399064,False,True,True,False,False
0.0,27,200,2.537863,2.537863,1.5860432,1.5860432,False,True,True,False,False
0.01,27,10,7.9632874,7.164072,2.8287003,3.3191953,False,True,True,True,True
0.01,27,20,5.527722,4.9691916,2.244327,2.5643878,False,True,True,True,True
0.01,27,30,4.640541,4.197558,1.8796948,2.122666,False,True,True,False,True
0.01,27,50,3.6326988,3.2930222,1.8136033,1.9684794,False,True,True,False,True
0.01,27,100,2.6226354,2.3935013,1.8498422,1.9230391,False,True,True,False,False
0.01,27,200,2.1789403,2.0387273,1.7804751,1.8148785,False,True,True,False,False
0.02,27,10,7.7707696,7.766256,3.0381079,2.6565664,False,True,True,True,True
0.02,27,20,5.543662,5.541821,2.4219024,2.1476398,False,True,True,True,True
0.02,27,30,4.550347,4.5476995,2.1358054,1.9199537,False,True,True,True,False
0.02,27,50,3.5978997,3.5956516,2.0233982,1.8912045,False,True,True,True,False
0.02,27,100,2.7697194,2.7698662,1.8683141,1.8126824,False,True,True,False,False
0.02,27,200,2.1869297,2.1875749,1.578951,1.5450863,False,True,True,False,False
0.0,28,10,3.3294423,3.3294423,2.96587,2.96587,False,True,True,True,True
0.0,28,20,2.6542294,2.6542294,2.5347369,2.5347369,False,True,True,True,True
0.0,28,30,2.283181,2.283181,2.0156345,2.0156345,False,True,True,True,True
0.0,28,50,1.9225727,1.9225727,1.8659363,1.8659363,False,False,False,False,False
0.0,28,100,1.7405745,1.7405745,1.6506512,1.6506512,False,False,False,False,False
0.0,28,200,1.712998,1.712998,1.6321876,1.6321876,False,False,False,False,False
0.01,28,10,9.602292,7.4278708,3.0388534,3.6891975,False,True,True,True,True
0.01,28,20,6.6544876,5.1660657,2.461595,2.8842347,False,True,True,True,True
0.01,28,30,5.406788,4.221163,2.1804223,2.5093174,False,True,True,True,True
0.01,28,50,4.248768,3.3561733,1.7882032,2.0219338,False,True,True,False,True
0.01,28,100,3.2053015,2.6036901,1.7463365,1.8741524,False,True,True,False,False
0.01,28,200,2.455394,2.0547874,1.5741205,1.6411284,False,True,True,False,False
0.02,28,10,11.145633,4.794277,2.3629954,2.8375542,False,True,True,True,True
0.02,28,20,7.702788,3.3883579,1.6640549,2.0194018,False,True,True,False,True
0.02,28,30,6.363793,2.9721358,1.689395,1.9334412,False,True,True,False,False
0.02,28,50,5.121149,2.4311242,1.5614357,1.7176207,False,True,True,False,False
0.02,28,100,3.873414,2.010857,1.4033266,1.5011913,False,True,True,False,False
0.02,28,200,2.9596481,1.7763885,1.3953516,1.4416451,False,True,False,False,False
0.0,29,10,7.837522,7.837522,2.8112836,2.8112836,False,True,True,True,True
0.0,29,20,5.3402686,5.3402686,2.0968227,2.0968227,False,True,True,True,True
0.0,29,30,4.5531893,4.5531893,2.1068892,2.1068892,False,True,True,True,True
0.0,29,50,3.6097972,3.6097972,1.9267899,1.9267899,False,True,True,False,False
0.0,29,100,2.8143408,2.8143408,1.6752859,1.6752859,False,True,True,False,False
0.0,29,200,2.2599664,2.2599664,1.6358582,1.6358582,False,True,True,False,False
0.01,29,10,4.6600485,4.374506,3.271142,2.6933208,False,True,True,True,True
0.01,29,20,3.363024,3.1804256,2.7038953,2.2716079,False,True,True,True,True
0.01,29,30,2.933258,2.7966428,2.3126273,1.9868606,False,True,True,True,True
0.01,29,50,2.4908185,2.4049432,1.9802397,1.7433411,False,True,True,True,False
0.01,29,100,1.9287733,1.8727943,1.72371,1.5946513,False,False,False,False,False
0.01,29,200,1.7269328,1.6915413,1.6358205,1.5562037,False,False,False,False,False
0.02,29,10,10.02751,3.1788356,2.5838938,3.430228,False,True,True,True,True
0.02,29,20,7.140362,2.548507,2.1151154,2.6053095,False,True,True,True,True
0.02,29,30,5.904813,2.1785738,1.8349087,2.1818933,False,True,True,False,True
0.02,29,50,4.6503086,1.9014018,1.8437792,2.0398684,False,True,False,False,True
0.02,29,100,3.4897346,1.7223976,1.5461076,1.6616601,False,True,False,False,False
0.02,29,200,2.6246562,1.5007585,1.4472882,1.505955,False,True,False,False,False
0.0,30,10,5.3888445,5.3888445,2.751657,2.751657,False,True,True,True,True
0.0,30,20,3.9785838,3.9785838,2.1183474,2.1183474,False,True,True,True,True
0.0,30,30,3.2912688,3.2912688,2.1706178,2.1706178,False,True,True,True,True
0.0,30,50,2.8239472,2.8239472,2.0201256,2.0201256,False,True,True,True,True
0.0,30,100,2.1266959,2.1266959,1.6324998,1.6324998,False,True,True,False,False
0.0,30,200,1.7768918,1.7768918,1.6300032,1.6300032,False,False,False,False,False
0.01,30,10,6.9500027,5.5781355,1.3099495,2.1174047,False,True,True,False,True
0.01,30,20,5.114312,4.248871,1.886482,2.2031655,False,True,True,False,True
0.01,30,30,4.1134286,3.4076047,1.8757472,2.0953312,False,True,True,False,True
0.01,30,50,3.348778,2.8203273,1.8057328,1.9507055,False,True,True,False,False
0.01,30,100,2.5743935,2.2249587,1.6786319,1.7535508,False,True,True,False,False
0.01,30,200,2.0732856,1.8514111,1.6470238,1.68456,False,True,False,False,False
0.02,30,10,11.532602,5.312426,2.2986486,2.0747268,False,True,True,True,True
0.02,30,20,7.9971995,3.8027556,1.8058071,1.6225562,False,True,True,False,False
0.02,30,30,6.495492,3.1028008,1.8116742,1.6999055,False,True,True,False,False
0.02,30,50,5.1480546,2.6199625,1.5237051,1.4362706,False,True,True,False,False
0.02,30,100,3.75708,2.0394564,1.5159358,1.464754,False,True,True,False,False
0.02,30,200,2.8983915,1.7881197,1.4334177,1.4023515,False,True,False,False,False
0.0,31,10,5.605159,5.605159,2.6505024,2.6505024,False,True,True,True,True
0.0,31,20,4.112655,4.112655,2.4849894,2.4849894,False,True,True,True,True
0.0,31,30,3.300577,3.300577,2.1554506,2.1554506,False,True,True,True,True
0.0,31,50,2.7246537,2.7246537,1.7285988,1.7285988,False,True,True,False,False
0.0,31,100,2.1774225,2.1774225,1.7098129,1.7098129,False,True,True,False,False
0.0,31,200,1.9198326,1.9198326,1.5017594,1.5017594,False,False,False,False,False
0.01,31,10,5.120839,3.915096,1.9246218,1.6428415,False,True,True,False,False
0.01,31,20,3.5827508,2.7595053,1.809545,1.6323584,False,True,True,False,False
0.01,31,30,3.0490139,2.4125667,1.6523339,1.5110428,False,True,True,False,False
0.01,31,50,2.4611862,2.0191293,1.6518368,1.5598506,False,True,True,False,False
0.01,31,100,2.0459075,1.7916895,1.5121052,1.4783145,False,True,False,False,False
0.01,31,200,1.8121471,1.6661292,1.5517799,1.5328387,False,False,False,False,False
0.02,31,10,12.651688,6.1355505,2.433371,2.72848,False,True,True,True,True
0.02,31,20,8.853171,4.5038447,2.0881615,2.2983265,False,True,True,True,True
0.02,31,30,7.1603007,3.64203,1.5304945,1.7011933,False,True,True,False,False
0.02,31,50,5.6617446,2.9405782,1.6618122,1.7615585,False,True,True,False,False
0.02,31,100,4.14974,2.359356,1.5797524,1.6336837,False,True,True,False,False
0.02,31,200,3.0928752,1.9321914,1.584734,1.6079589,False,True,False,False,False
0.0,32,10,5.4079328,5.4079328,1.4612907,1.4612907,False,True,True,False,False
0.0,32,20,3.816375,3.816375,1.419115,1.419115,False,True,True,False,False
0.0,32,30,3.2075903,3.2075903,1.5272845,1.5272845,False,True,True,False,False
0.0,32,50,2.5798128,2.5798128,1.4338702,1.4338702,False,True,True,False,False
0.0,32,100,2.0769153,2.0769153,1.5367867,1.5367867,False,True,True,False,False
0.0,32,200,1.8127846,1.8127846,1.4090854,1.4090854,False,False,False,False,False
0.01,32,10,5.7967305,5.7029905,2.9557188,3.239974,False,True,True,True,True
0.01,32,20,4.1893244,4.1304927,2.2674642,2.4568183,False,True,True,True,True
0.01,32,30,3.5040174,3.4591599,2.1123521,2.2256246,False,True,True,True,True
0.01,32,50,2.815731,2.776362,1.7622753,1.846187,False,True,True,False,False
0.01,32,100,2.245732,2.2236445,1.5376081,1.5806907,False,True,True,False,False
0.01,32,200,1.8718373,1.8621521,1.4695779,1.4963813,False,False,False,False,False
0.02,32,10,9.751285,3.7555096,3.0672388,3.4918509,False,True,True,True,True
0.02,32,20,6.902041,3.0089552,2.2765431,2.5498343,False,True,True,True,True
0.02,32,30,5.669486,2.6915135,1.993983,2.1990287,False,True,True,True,True
0.02,32,50,4.5516086,2.286225,2.092416,2.2184403,False,True,True,True,True
0.02,32,100,3.3428636,1.8206427,1.7631999,1.8439898,False,True,False,False,False
0.02,32,200,2.6518903,1.6738389,1.563728,1.608917,False,True,False,False,False
0.0,33,10,5.47507,5.47507,4.6584363,4.6584363,False,True,True,True,True
0.0,33,20,4.0337224,4.0337224,3.4966981,3.4966981,False,True,True,True,True
0.0,33,30,3.2870624,3.2870624,2.9286563,2.9286563,False,True,True,True,True
0.0,33,50,2.774179,2.774179,2.3750834,2.3750834,False,True,True,True,True
0.0,33,100,2.2395513,2.2395513,2.0043786,2.0043786,False,True,True,True,True
0.0,33,200,1.9633482,1.9633482,1.742093,1.742093,False,True,True,False,False
0.01,33,10,8.672317,7.0179276,2.1674888,1.3703994,False,True,True,True,False
0.01,33,20,6.0498877,4.923549,1.8133446,1.5299315,False,True,True,False,False
0.01,33,30,4.9816914,4.08341,2.075808,1.9336826,False,True,True,True,False
0.01,33,50,3.9254858,3.2497208,1.7033296,1.5976009,False,True,True,False,False
0.01,33,100,2.99338,2.5459201,1.5417715,1.4892972,False,True,True,False,False
0.01,33,200,2.3395226,2.0590134,1.6033794,1.5789596,False,True,True,False,False
0.02,33,10,11.075923,5.2774024,1.8055515,2.0003898,False,True,True,False,True
0.02,33,20,7.7356777,3.785638,1.940564,2.0702448,False,True,True,False,True
0.02,33,30,6.2919574,3.0519576,1.7041179,1.8052357,False,True,True,False,False
0.02,33,50,5.0105557,2.6302972,1.5205226,1.5906172,False,True,True,False,False
0.02,33,100,3.6965249,2.1044805,1.3818048,1.4159328,False,True,True,False,False
0.02,33,200,2.8361413,1.7985581,1.3475612,1.3661472,False,True,False,False,False
0.0,34,10,9.322815,9.322815,3.0721738,3.0721738,False,True,True,True,True
0.0,34,20,6.5948133,6.5948133,2.5184286,2.5184286,False,True,True,True,True
0.0,34,30,5.3980365,5.3980365,2.1315317,2.1315317,False,True,True,True,True
0.0,34,50,4.237972,4.237972,1.8693619,1.8693619,False,True,True,False,False
0.0,34,100,3.1687899,3.1687899,1.7519104,1.7519104,False,True,True,False,False
0.0,34,200,2.5229166,2.5229166,1.606264,1.606264,False,True,True,False,False
0.01,34,10,5.702003,5.6226683,3.0467918,1.8436846,False,True,True,True,False
0.01,34,20,4.1041193,4.040729,2.52293,1.8110508,False,True,True,True,False
0.01,34,30,3.5055592,3.4482007,2.18258,1.7082936,False,True,True,True,False
0.01,34,50,2.8560023,2.8233879,1.9813416,1.6534649,False,True,True,True,False
0.01,34,100,2.363223,2.3496687,1.6864157,1.5045236,False,True,True,False,False
0.01,34,200,2.0153205,1.9949758,1.584437,1.4836079,False,True,True,False,False
0.02,34,10,12.512565,2.8877294,3.3397653,3.0851831,False,True,True,True,True
0.02,34,20,8.730957,2.1542513,2.4407399,2.24473,False,True,True,True,True
0.02,34,30,7.101645,1.7261358,2.1605732,2.0077355,False,True,False,True,True
0.02,34,50,5.586737,1.5731239,1.8685117,1.7728392,False,True,False,False,False
0.02,34,100,4.1445613,1.524217,1.8285134,1.7670399,False,True,False,False,False
0.02,34,200,3.0870662,1.3919034,1.7211356,1.6970955,False,True,False,False,False
0.0,35,10,5.2751675,5.2751675,3.2205834,3.2205834,False,True,True,True,True
0.0,35,20,3.667597,3.667597,2.7219512,2.7219512,False,True,True,True,True
0.0,35,30,3.297322,3.297322,2.522154,2.522154,False,True,True,True,True
0.0,35,50,2.6420097,2.6420097,2.1712496,2.1712496,False,True,True,True,True
0.0,35,100,2.161523,2.161523,1.9141781,1.9141781,False,True,True,False,False
0.0,35,200,1.7956207,1.7956207,1.7324201,1.7324201,False,False,False,False,False
0.01,35,10,7.5740566,5.7644973,3.3877745,3.7722888,False,True,True,True,True
0.01,35,20,5.4442453,4.243052,2.5482023,2.751109,False,True,True,True,True
0.01,35,30,4.476008,3.5153067,2.3415456,2.4770393,False,True,True,True,True
0.01,35,50,3.5549676,2.8082314,1.9085736,2.002048,False,True,True,False,True
0.01,35,100,2.8112547,2.3575745,1.6712995,1.7273105,False,True,True,False,False
0.01,35,200,2.217881,1.9299082,1.592479,1.6270617,False,True,False,False,False
0.02,35,10,10.18171,3.2961507,2.7179914,3.2370257,False,True,True,True,True
0.02,35,20,7.074664,2.3978765,2.1539063,2.4690127,False,True,True,True,True
0.02,35,30,5.9316382,2.225823,1.7616704,2.0059838,False,True,True,False,True
0.02,35,50,4.762281,1.9302404,1.8244265,1.9600167,False,True,False,False,True
0.02,35,100,3.5820394,1.8054299,1.5684354,1.648334,False,True,False,False,False
0.02,35,200,2.7445734,1.5688818,1.5393915,1.5749503,False,True,False,False,False
0.0,36,10,4.269831,4.269831,2.5136595,2.5136595,False,True,True,True,True
0.0,36,20,3.1109452,3.1109452,2.2676218,2.2676218,False,True,True,True,True
0.0,36,30,2.5996847,2.5996847,1.9464298,1.9464298,False,True,True,False,False
0.0,36,50,2.2587311,2.2587311,1.6443293,1.6443293,False,True,True,False,False
0.0,36,100,1.873131,1.873131,1.6580372,1.6580372,False,False,False,False,False
0.0,36,200,1.8015796,1.8015796,1.6424035,1.6424035,False,False,False,False,False
0.01,36,10,7.7030015,5.9992633,2.7457821,2.9463356,False,True,True,True,True
0.01,36,20,5.5812764,4.421281,2.0167859,2.1705348,False,True,True,True,True
0.01,36,30,4.65302,3.732744,1.8743435,1.9736938,False,True,True,False,True
0.01,36,50,3.7393966,3.0515704,1.6358707,1.7177429,False,True,True,False,False
0.01,36,100,2.881245,2.4331107,1.5699092,1.6090866,False,True,True,False,False
0.01,36,200,2.2334764,1.9435656,1.5662701,1.5896366,False,True,False,False,False
0.02,36,10,10.052567,3.1495469,2.3373194,3.124228,False,True,True,True,True
0.02,36,20,7.5149074,2.7583675,2.107107,2.552001,False,True,True,True,True
0.02,36,30,6.3381634,2.2873783,1.9118836,2.260189,False,True,True,False,True
0.02,36,50,5.009935,1.981062,1.7738037,1.9930317,False,True,True,False,True
0.02,36,100,3.8418157,1.8188021,1.6626933,1.781816,False,True,False,False,False
0.02,36,200,2.9527574,1.6050158,1.5823734,1.6458118,False,True,False,False,False
0.0,37,10,4.465613,4.465613,2.289048,2.289048,False,True,True,True,True
0.0,37,20,3.1482553,3.1482553,1.9907616,1.9907616,False,True,True,True,True
0.0,37,30,2.5810297,2.5810297,1.9596105,1.9596105,False,True,True,False,False
0.0,37,50,2.2692478,2.2692478,1.8207604,1.8207604,False,True,True,False,False
0.0,37,100,1.8737215,1.8737215,1.6946975,1.6946975,False,False,False,False,False
0.0,37,200,1.6986974,1.6986974,1.4729443,1.4729443,False,False,False,False,False
